,T0,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23
T0,0,32,34,31,39,35,34,31,33,37,37,28,27,35,45,47,61,45,21,23,55,60,32,36
T1,32,0,9,2,23,15,19,20,19,58,57,49,31,26,40,37,41,34,31,33,45,39,32,28
T2,34,9,0,9,14,6,9,10,9,52,51,55,21,16,36,34,39,34,21,24,46,40,22,18
T3,31,2,9,0,23,15,19,20,19,56,57,48,31,26,38,36,41,32,31,33,44,39,32,28
T4,39,23,14,23,0,8,11,12,11,63,64,61,23,30,41,36,38,44,35,38,42,38,36,32
T5,35,15,6,15,8,0,3,4,3,56,56,55,15,22,38,34,42,37,27,30,47,41,28,24
T6,34,19,9,19,11,3,0,3,1,58,58,55,19,26,38,35,39,35,31,33,47,39,32,28
T7,31,20,10,20,12,4,3,0,2,56,55,57,20,27,40,36,41,33,32,34,47,41,33,29
T8,33,19,9,19,11,3,1,2,0,57,57,55,19,26,38,34,39,34,31,33,47,39,32,28
T9,37,58,52,56,63,56,58,56,57,0,2,11,62,47,71,68,70,74,40,41,74,70,44,45
T10,37,57,51,57,64,56,58,55,57,2,0,9,62,47,69,67,71,72,41,40,72,69,44,46
T11,28,49,55,48,61,55,55,57,55,11,9,0,54,39,70,65,70,67,42,36,77,69,38,37
T12,27,31,21,31,23,15,19,20,19,62,62,54,0,38,32,37,36,23,43,45,38,35,44,40
T13,35,26,16,26,30,22,26,27,26,47,47,39,38,0,42,40,31,40,38,40,38,30,6,2
T14,45,40,36,38,41,38,38,40,38,71,69,70,32,42,0,6,21,39,38,35,33,23,36,43
T15,47,37,34,36,36,34,35,36,34,68,67,65,37,40,6,0,15,33,38,33,27,17,41,39
T16,61,41,39,41,38,42,39,41,39,70,71,70,36,31,21,15,0,18,44,39,11,2,36,33
T17,45,34,34,32,44,37,35,33,34,74,72,67,23,40,39,33,18,0,50,50,29,20,34,40
T18,21,31,21,31,35,27,31,32,31,40,41,42,43,38,38,38,44,50,0,6,40,43,44,40
T19,23,33,24,33,38,30,33,34,33,41,40,36,45,40,35,33,39,50,6,0,45,39,46,42
T20,55,45,46,44,42,47,47,47,47,74,72,77,38,38,33,27,11,29,40,45,0,9,42,40
T21,60,39,40,39,38,41,39,41,39,70,69,69,35,30,23,17,2,20,43,39,9,0,34,32
T22,32,32,22,32,36,28,32,33,32,44,44,38,44,6,36,41,36,34,44,46,42,34,0,8
T23,36,28,18,28,32,24,28,29,28,45,46,37,40,2,43,39,33,40,40,42,40,32,8,0
